OTUs,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
79,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
80,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. JLS
81,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Crocosphaera,Crocosphaera watsonii
82,Bacteria,NA,Cyanobacteria,NA,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
83,Bacteria,NA,Cyanobacteria,NA,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
84,Bacteria,NA,Cyanobacteria,NA,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
85,Bacteria,NA,Cyanobacteria,NA,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
86,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia psychrerythraea
87,Viruses,NA,NA,NA,NA,Retroviridae,Gammaretrovirus,Porcine type-C oncovirus
88,Eukaryota,Fungi,Basidiomycota,NA,Pucciniales,Phakopsoraceae,Phakopsora,Phakopsora pachyrhizi
89,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Temperate phage phiNIH1.1
90,Viruses,NA,NA,NA,NA,Caulimoviridae,Soymovirus,Cestrum yellow leaf curling virus
91,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
92,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium fabrum
93,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium,Desulfobacterium autotrophicum
94,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,Desulfotalea psychrophila
95,Archaea,NA,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum aerophilum
96,Viruses,NA,NA,NA,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3
97,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Cyanobium,Cyanobium sp. PCC 7001
98,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,Alkalilimnicola ehrlichii
99,Archaea,NA,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina acetivorans
100,Bacteria,NA,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum
101,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas citri
102,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
103,Archaea,NA,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei
104,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum tepidum
105,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
106,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens
107,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens
108,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Nocardioides sp. JS614
109,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium efficiens
110,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus
111,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Thermosynechococcus,Thermosynechococcus elongatus
112,Viruses,NA,NA,NA,NA,NA,NA,Streptococcus pyogenes phage 315.1
113,Viruses,NA,NA,NA,NA,NA,NA,Streptococcus pyogenes phage 315.3
114,Viruses,NA,NA,NA,NA,NA,NA,Streptococcus pyogenes phage 315.4
115,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buchnera,Buchnera aphidicola
116,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Saccharophagus,Saccharophagus degradans
117,Bacteria,NA,Cyanobacteria,NA,Oscillatoriales,NA,Trichodesmium,Trichodesmium erythraeum
118,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,NA,Tropheryma,Tropheryma whipplei
119,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Candidatus Blochmannia,Candidatus Blochmannia floridanus
120,Bacteria,NA,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,Sulfurihydrogenibium azorense
121,Bacteria,NA,Acidobacteria,NA,NA,NA,Candidatus Koribacter,Candidatus Koribacter versatilis
122,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,Herminiimonas arsenicoxydans
123,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Mycobacterium phage Rosebush
124,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Mycobacterium phage Corndog
125,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
126,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia chaffeensis
127,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens
128,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio alaskensis
129,Viruses,NA,NA,NA,Caudovirales,Myoviridae,NA,Vibrio phage VHML
130,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bermanella,Bermanella marisrubri
131,Bacteria,NA,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum
132,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma agalactiae
133,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
134,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella oneidensis
135,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tetani
136,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactococcus phage 936 sensu lato
137,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactococcus phage 936 sensu lato
138,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Filobasidiella,Cryptococcus neoformans
139,Bacteria,NA,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gemmata,Gemmata obscuriglobus
140,Viruses,NA,NA,NA,Caudovirales,Podoviridae,Epsilon15likevirus,Salmonella phage epsilon15
141,Bacteria,NA,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus
142,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia
143,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
144,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium marinum
145,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens
146,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum
147,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium atrosepticum
148,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus uberis
149,Bacteria,NA,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,Chlamydophila abortus
150,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Micromonospora sp. ATCC 39149
151,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas protegens
152,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum
153,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Oceanobacillus iheyensis
154,Viruses,NA,NA,NA,Caudovirales,Myoviridae,Twortlikevirus,Staphylococcus phage K
155,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia,Mannheimia succiniciproducens
156,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
157,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Bryopsidaceae,Bryopsis,Bryopsis hypnoides
158,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia,Neorickettsia sennetsu
159,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae group genomosp. 3
160,Bacteria,NA,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,Aquifex aeolicus
161,Archaea,NA,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus
162,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium diazoefficiens
163,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buchnera,Buchnera aphidicola
164,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella piezotolerans
165,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
166,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron
167,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
168,Eukaryota,NA,NA,NA,NA,NA,Bigelowiella,Bigelowiella natans
169,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans
170,Viruses,NA,NA,NA,Caudovirales,Podoviridae,T7likevirus,Yersinia phage phiA1122
171,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces avermitilis
172,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae
173,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,Histophilus somni
174,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas neptunium
175,Bacteria,NA,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas europaea
176,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia pestis
177,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum
178,Viruses,NA,NA,NA,Caudovirales,Myoviridae,NA,Haemophilus phage Aaphi23
179,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JS42
180,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus ducreyi
181,Viruses,NA,NA,NA,Caudovirales,Myoviridae,T4likevirus,Aeromonas phage 25
182,Bacteria,NA,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,Candidatus Solibacter usitatus
183,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter hepaticus
184,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus kaustophilus
185,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp. DG881
186,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,Candida,Candida albicans
187,Bacteria,NA,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum
188,Bacteria,NA,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,Verrucomicrobium spinosum
189,Bacteria,NA,Cyanobacteria,NA,Nostocales,Nostocaceae,Anabaena,Anabaena variabilis
190,Bacteria,NA,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,Rhodopirellula baltica
191,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans
192,Bacteria,NA,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia muridarum
193,Bacteria,NA,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi
194,Bacteria,NA,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans
195,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,Methylococcus capsulatus
196,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium
197,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Photorhabdus,Photorhabdus luminescens
198,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma arthritidis
199,Bacteria,NA,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema denticola
200,Bacteria,NA,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chromobacterium,Chromobacterium violaceum
201,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia,Labrenzia alexandrii
202,Bacteria,NA,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,Carboxydothermus hydrogenoformans
203,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Dichelobacter,Dichelobacter nodosus
204,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
205,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus
206,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Ruegeria pomeroyi
207,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,Nocardia farcinica
208,Bacteria,NA,Proteobacteria,Gammaproteobacteria,NA,NA,NA,marine gamma proteobacterium HTCC2143
209,Bacteria,NA,Proteobacteria,Gammaproteobacteria,NA,NA,NA,marine gamma proteobacterium HTCC2148
210,Bacteria,NA,Proteobacteria,Gammaproteobacteria,NA,NA,NA,marine gamma proteobacterium HTCC2080
211,Bacteria,NA,Cyanobacteria,Gloeobacteria,Gloeobacterales,NA,Gloeobacter,Gloeobacter violaceus
212,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,Oceanicola batsensis
213,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia ruminantium
214,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Klebsiella phage phiKO2
215,Bacteria,NA,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi
216,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
217,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella bronchiseptica
218,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella parapertussis
219,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis
220,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia typhi
221,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter arcticus
222,Viruses,NA,NA,NA,NA,Ascoviridae,Ascovirus,Heliothis virescens ascovirus 3a
223,Bacteria,NA,Proteobacteria,Deltaproteobacteria,NA,NA,NA,delta proteobacterium MLMS-1
224,Bacteria,NA,Firmicutes,Bacilli,Bacillales,NA,Exiguobacterium,Exiguobacterium sibiricum
225,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus
226,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma hyopneumoniae
227,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma synoviae
228,Bacteria,NA,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus
229,Archaea,NA,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,Picrophilus torridus
230,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus pinatubonensis
